endTime;valence;danceability
12/06/2022 4:29;0.561;0.702
12/06/2022 4:29;0.489;0.634
12/06/2022 4:30;0.643;0.595
12/06/2022 4:30;0.407;0.429
12/06/2022 4:30;0.845;0.795
12/06/2022 4:30;0.714;0.545
12/06/2022 4:30;0.158;0.432
12/06/2022 4:30;0.472;0.32
12/06/2022 4:30;0.77;0.615
12/06/2022 4:30;0.539;0.464
12/06/2022 4:30;0.963;0.633
12/06/2022 4:30;0.799;0.732
12/06/2022 4:30;0.885;0.783
12/06/2022 4:33;0.517;0.524
12/06/2022 15:05;0.517;0.524
12/06/2022 15:06;0.967;0.562
12/06/2022 15:09;0.517;0.524
12/06/2022 15:12;0.967;0.562
12/06/2022 15:16;0.776;0.679
12/06/2022 15:17;0.47;0.605
12/06/2022 15:21;0.931;0.54
12/06/2022 15:21;0.911;0.606
12/06/2022 15:21;0.69;0.583
12/06/2022 15:22;0.778;0.616
12/06/2022 15:22;0.56;0.477
12/06/2022 15:23;0.841;0.756
12/06/2022 19:38;0.328;0.788
12/06/2022 22:34;0.663;0.64
12/06/2022 22:38;0.774;0.741
12/06/2022 22:40;0.942;0.508
12/06/2022 22:45;0.874;0.858
12/06/2022 22:48;0.773;0.606
12/06/2022 22:51;0.728;0.699
12/06/2022 22:52;0.628;0.627
12/06/2022 22:52;0.973;0.702
12/06/2022 22:52;0.86;0.582
12/06/2022 22:52;0.576;0.656
12/06/2022 22:53;0.672;0.763
12/06/2022 22:57;0.964;0.719
12/06/2022 23:01;0.794;0.55
13/06/2022 0:41;0.964;0.719
13/06/2022 0:44;0.966;0.805
13/06/2022 0:44;0.754;0.543
13/06/2022 0:45;0.649;0.645
13/06/2022 6:04;0.2;0.2
13/06/2022 6:08;0.2;0.1
13/06/2022 6:12;0.1;0.1
13/06/2022 6:15;0;0.1
13/06/2022 6:19;0.1;0.1
13/06/2022 6:23;0.4;0.2
13/06/2022 6:28;0.09;0.42
13/06/2022 6:30;0.59;0.34
13/06/2022 6:33;0.44;0.5
13/06/2022 6:34;0.2;0.13
13/06/2022 6:36;0.18;0.36
13/06/2022 6:36;0.247;0.14
13/06/2022 6:39;0.4;0.3
13/06/2022 6:40;0.47;0.2
13/06/2022 6:41;0.1;0.2
13/06/2022 6:53;0.238;0.46
13/06/2022 6:58;0.258;0.72
13/06/2022 14:54;0.666;0.699
13/06/2022 14:54;0.795;0.689
13/06/2022 14:55;0.238;0.46
13/06/2022 14:55;0.258;0.72
13/06/2022 14:55;0.0368;0.695
13/06/2022 14:56;0.333;0.599
13/06/2022 15:01;0.333;0.599
13/06/2022 15:05;0.277;0.765
13/06/2022 15:06;0.5;0.342
13/06/2022 15:07;0.265;0.453
13/06/2022 15:09;0.723;0.756
13/06/2022 15:10;0.333;0.599
13/06/2022 15:10;0.736;0.679
13/06/2022 15:10;0.243;0.737
13/06/2022 15:10;0.102;0.356
13/06/2022 15:11;0.306;0.469
13/06/2022 15:11;0.714;0.54
13/06/2022 15:14;0.552;0.365
13/06/2022 15:18;0.349;0.742
13/06/2022 15:21;0.481;0.433
13/06/2022 15:22;0.734;0.583
